UserID,total_courses,avg_rating,total_spent,diversity_score,avg_level,preferred_category,UserName,Age,Gender,Email,cluster
U00001,1,1.35,394.26,1,2.0,Cybersecurity,wilsonjordan,15,Male,patricia27@hotmail.com,3
U00002,1,2.88,0.0,1,1.0,Programming,angela22,29,Female,hallrandy@hotmail.com,1
U00003,11,2.889090909090909,613.98,7,2.0,Marketing,morrisonamanda,33,Female,ganderson@yahoo.com,2
U00004,13,3.451538461538461,982.05,8,1.9230769230769231,Digital Marketing,fthornton,23,Female,christensencatherine@outlook.com,2
U00005,2,2.055,346.71,2,2.0,Programming,fostergeoffrey,21,Male,karenfuentes@yahoo.com,3
U00006,1,3.89,0.78,1,3.0,Machine Learning,jacksonjose,21,Male,wilsonnatalie@outlook.com,0
U00007,1,1.91,0.0,1,2.0,Cybersecurity,grodriguez,24,Male,lopezjoseph@gmail.com,0
U00008,1,4.1,0.0,1,2.0,Finance,adkinsapril,33,Female,sanfordtaylor@gmail.com,1
U00009,1,2.72,276.37,1,3.0,Design,heathercallahan,20,Female,chelseastephenson@outlook.com,0
U00010,2,3.165,326.02,2,1.5,Artificial Intelligence,qlam,34,Female,brian31@outlook.com,1
U00011,2,3.205,299.57,2,2.0,Data Science,ashley16,15,Female,guzmanantonio@outlook.com,3
U00012,2,1.515,327.99,2,2.0,Design,mirandatimothy,15,Female,paula93@outlook.com,3
U00013,14,2.869285714285714,1432.33,8,2.0,Machine Learning,cherrykathleen,33,Female,michelewatkins@outlook.com,2
U00014,1,1.81,0.0,1,3.0,Machine Learning,huertatimothy,30,Male,gabrielanderson@yahoo.com,0
U00015,14,2.7607142857142857,2035.06,10,1.7142857142857142,Artificial Intelligence,tbaker,27,Female,kelly33@yahoo.com,2
U00016,1,4.79,0.0,1,3.0,Marketing,josephmullins,32,Male,amysparks@outlook.com,1
U00017,3,4.65,963.18,3,1.3333333333333333,Artificial Intelligence,theresa55,24,Male,pachecojeremy@gmail.com,1
U00018,16,3.108125,1468.03,9,1.8125,Artificial Intelligence,nicole97,24,Female,aprilharrell@hotmail.com,2
U00019,1,4.51,0.0,1,1.0,Design,rlawson,24,Female,kingjulia@gmail.com,1
U00020,1,2.88,0.0,1,1.0,Programming,evansmichael,27,Female,eharris@hotmail.com,1
U00021,2,3.135,177.34,2,3.0,Cybersecurity,autumn63,15,Male,julieestrada@hotmail.com,0
U00022,1,4.68,0.0,1,1.0,Project Management,patriciaadkins,31,Male,thomas63@hotmail.com,1
U00023,1,4.51,0.0,1,1.0,Design,micheal78,32,Male,ashleymorris@yahoo.com,1
U00024,1,3.93,0.0,1,2.0,Cybersecurity,steven43,18,Female,petersonlori@yahoo.com,3
U00025,4,2.605,119.04,4,2.25,Finance,georgewhite,34,Male,jamesbradshaw@hotmail.com,1
U00026,1,1.51,327.99,1,1.0,Project Management,andrew02,19,Male,jason57@yahoo.com,3
U00027,2,2.915,0.0,2,2.5,Cybersecurity,hunter32,31,Male,ronaldthomas@yahoo.com,0
U00028,12,3.015,1012.66,9,1.9166666666666667,Finance,zgomez,30,Female,rwhitaker@outlook.com,2
U00029,1,2.69,326.02,1,2.0,Business,hartmanjon,30,Male,nicole88@gmail.com,1
U00030,1,3.45,0.0,1,2.0,Project Management,david76,34,Male,robert64@outlook.com,1
U00031,1,2.2,0.0,1,1.0,Web Development,lovedavid,30,Male,fbooth@yahoo.com,1
U00032,1,1.96,285.05,1,1.0,Business,veronica83,18,Male,andrea24@yahoo.com,3
U00033,1,2.72,276.37,1,3.0,Design,rodrigueznatalie,25,Male,linda50@gmail.com,0
U00034,2,2.67,248.1,2,1.0,Artificial Intelligence,ilopez,32,Female,scottwatts@yahoo.com,1
U00035,1,3.89,0.78,1,3.0,Machine Learning,chernandez,32,Male,bryangilbert@yahoo.com,0
U00036,1,3.85,0.0,1,1.0,Programming,coxmichael,24,Female,leonardkimberly@hotmail.com,3
U00037,2,1.985,0.0,2,3.0,Cybersecurity,lisabraun,31,Female,ericbrown@hotmail.com,0
